t,x ,y,theta,vl,vr
0,1.3,0,0,0,0
0.2,1.24651291,3.72091E-07,-0.019423118,-0.359651654,-0.382488659
0.4,1.17226669,0.001441751,-0.028040856,-0.48052934,-0.446779749
0.6,1.079529523,0.004042587,-0.015305161,-0.553938492,-0.447650177
0.8,0.978806014,0.005574308,0.024803637,-0.533067183,-0.343430974
1,0.88899368,0.003355239,0.096364471,-0.45410192,-0.209179948
1.2,0.818941337,-0.00315626,0.188787857,-0.280170934,-0.018195409
1.4,0.785301552,-0.009011711,0.287646545,-0.081949645,0.18268634
1.6,0.791631414,-0.006738002,0.387509181,0.124122564,0.364797158
1.8,0.834974285,0.010910812,0.478329782,0.337065297,0.551006848
2,0.911879245,0.051123348,0.559062443,0.491208683,0.699260249
2.2,1.00966254,0.113771583,0.637572468,0.565452317,0.785394797
2.4,1.114167902,0.193434232,0.72056963,0.632150281,0.835615736
2.6,1.219738546,0.289390891,0.797349047,0.791102439,0.908015343
2.8,1.331664378,0.410125122,0.841467124,0.938578744,0.950331466
3,1.449129483,0.549181703,0.845902113,1.076951931,0.992953313
3.2,1.577792682,0.700808189,0.814204522,1.135285084,0.976321251
3.4,1.716401803,0.850605979,0.75421817,1.182172694,0.96723421
3.6,1.868848184,0.994581316,0.673109308,1.183443325,0.938918966
3.8,2.032128816,1.124813055,0.580835964,1.195321034,0.937580745
4,2.208316252,1.240520106,0.483575478,1.180696759,0.917089608
4.2,2.391784043,1.336950796,0.384101081,1.156807641,0.896754478
4.4,2.579592638,1.412782215,0.285967812,1.129463356,0.867482914
4.6,2.768143585,1.467943379,0.187107268,1.105483043,0.84706265
4.8,2.956566813,1.503089114,0.089590138,1.076043073,0.832968821
5,3.143056298,1.519023275,-0.002135994,1.035276153,0.814547771
5.2,3.324379362,1.517593788,-0.085429723,0.984812595,0.784632037
5.4,3.497211202,1.501690948,-0.160969557,0.92755731,0.745197838
5.6,3.65919231,1.4743461,-0.229784452,0.871946187,0.705474147
5.8,3.810018397,1.43811448,-0.292604089,0.824641981,0.672690156
6,3.950933228,1.394792904,-0.349944401,0.78574455,0.647211614
6.2,4.083355619,1.345658145,-0.402220981,0.752071473,0.625981002
6.4,4.208212226,1.291799558,-0.449802291,0.720957164,0.606410726
6.6,4.326017992,1.234243788,-0.493027361,0.69113929,0.587302662
6.8,4.437119147,1.173940972,-0.532210995,0.662224432,0.5683223
7,4.541832892,1.1117339,-0.567645761,0.634149659,0.549461938
7.2,4.640489922,1.048348501,-0.599603392,0.606943721,0.53080212
7.4,4.733437246,0.984398795,-0.628336071,0.580651009,0.512435775
7.6,4.821030817,0.92039712,-0.654077669,0.555313841,0.494450677
7.8,4.903627804,0.856765198,-0.6770449,0.530968213,0.476925083
8,4.98158033,0.793844845,-0.697438535,0.507642537,0.459925878
8.2,5.055230723,0.731908063,-0.715444821,0.485358579,0.443508738
8.4,5.12490822,0.671166216,-0.731237214,0.464131129,0.42771741
8.6,5.190926628,0.61177846,-0.74497824,0.443972422,0.412588446
8.8,5.253583433,0.553858754,-0.75682125,0.424890765,0.398150469
9,5.313159295,0.497482255,-0.766911928,0.406896036,0.384430226
9.2,5.369918785,0.442690232,-0.775389592,0.389997244,0.371450489
9.4,5.424111054,0.389494671,-0.782388367,0.3742053,0.359233282
9.6,5.475971109,0.337881911,-0.788038186,0.359524294,0.347791989
9.8,5.525720034,0.287816966,-0.792465471,0.345933671,0.337114719
10,5.573562868,0.239249915,-0.795793377,0.333336125,0.327113526
10.2,5.619679394,0.192129318,-0.798141527,0.321484444,0.317552282
10.4,5.66420488,0.146425837,-0.799625362,0.309945344,0.308010412
10.6,5.707205755,0.102160838,-0.800355525,0.298195754,0.297977096
10.8,5.748668276,0.059421012,-0.800438037,0.285792742,0.287018287
11,5.788510163,0.018348269,-0.799975568,0.272471243,0.274874951
11.2,5.826605483,-0.020884944,-0.799068508,0.258230473,0.261551043
11.4,5.8628216,-0.058113069,-0.797815463,0.243376034,0.247348035
11.6,5.89706176,-0.093220247,-0.796316594,0.228326247,0.232657834
11.8,5.929280084,-0.126154229,-0.794682033,0.213543191,0.217876327
